date_collected,domestic_cume_usd,international_cume_usd,worldwide_cume_usd
2026-08-06,449169617.0,706300000.0,1155469617.0
2026-08-07,481876434.0,706300000.0,1188176434.0
2026-08-08,510088528.0,706300000.0,1216388528.0
2026-08-09,553088528.0,706300000.0,1259388528.0
2026-08-10,655088528.0,1010000000.0,1665088528.0
2026-08-11,654342914.0,1010000000.0,1664342914.0
2026-08-12,671028646.0,1017739165.0,1688767811.0
2026-08-13,691066077.0,1017739165.0,1708805242.0
2026-08-14,704579779.0,1017739165.0,1722318944.0
2026-08-15,715831670.0,1017739165.0,1733570835.0
2026-08-16,734831670.0,1017739165.0,1752570835.0
2026-08-17,785831670.0,1236000000.0,2021831670.0
2026-08-18,786543660.0,1236000000.0,2022543660.0
2026-08-19,794051866.0,1236000000.0,2030051866.0
2026-08-20,803929225.0,1236000000.0,2039929225.0
2026-08-21,810432089.0,1236000000.0,2046432089.0
2026-08-22,815901026.0,1488547591.0,2304448617.0
